loan_id,customer_id,loan_type,loan_amount,interest_rate,emi,status,is_active
L00001,C01126,Personal Loan,480607,13.02,39678,Active,1
L00002,C01042,Personal Loan,228930,12.07,45032,Active,1
L00003,C01217,Business Loan,4365260,13.28,14209,Active,1
L00004,C01189,Personal Loan,3039847,8.24,10537,Active,1
L00005,C01325,Gold Loan,2346328,12.37,15814,Closed,0
L00006,C01391,Car Loan,4169764,10.95,16866,Active,1
L00007,C01495,Personal Loan,4159548,13.06,41079,Active,1
L00008,C01204,Business Loan,144229,8.17,8695,Active,1
L00009,C00032,Gold Loan,1457817,8.19,42169,Active,1
L00010,C01729,Car Loan,3939068,11.01,54751,Active,1
L00011,C00682,Business Loan,2152573,13.5,14064,Closed,0
L00012,C01618,Home Loan,1996426,8.25,14189,Closed,0
L00013,C00101,Business Loan,87249,12.99,33656,Closed,0
L00014,C01315,Home Loan,155269,8.63,53606,Active,1
L00015,C01005,Home Loan,2962181,7.34,27889,Closed,0
L00016,C00304,Car Loan,3247960,7.09,36429,Closed,0
L00017,C01684,Business Loan,1406025,13.69,6275,Closed,0
L00018,C00240,Car Loan,756852,12.47,12194,Closed,0
L00019,C01877,Education Loan,431125,7.15,40521,Closed,0
L00020,C01980,Gold Loan,2480636,11.04,10182,Active,1
L00021,C01596,Education Loan,972579,9.61,41188,Active,1
L00022,C00481,Education Loan,2530482,12.83,35821,Closed,0
L00023,C00509,Education Loan,1105554,11.88,43217,Active,1
L00024,C01546,Home Loan,1274661,9.21,40736,Closed,0
L00025,C01037,Car Loan,4421624,11.83,20633,Active,1
L00026,C01431,Personal Loan,4784294,13.52,48069,Closed,0
L00027,C01108,Gold Loan,3626804,11.4,7876,Closed,0
L00028,C00640,Gold Loan,1594613,12.67,50982,Closed,0
L00029,C01379,Business Loan,2768098,12.62,8355,Closed,0
L00030,C00900,Gold Loan,4216472,7.36,33653,Active,1
L00031,C01230,Home Loan,444978,8.63,15363,Active,1
L00032,C00823,Personal Loan,2980403,11.37,10497,Closed,0
L00033,C00368,Personal Loan,2278905,7.08,25177,Active,1
L00034,C00764,Car Loan,4521803,13.74,38605,Closed,0
L00035,C00862,Personal Loan,974599,13.88,45536,Closed,0
L00036,C01366,Personal Loan,4596377,10.26,27601,Active,1
L00037,C00132,Car Loan,2599294,8.02,10594,Active,1
L00038,C01729,Gold Loan,4428291,12.32,43676,Closed,0
L00039,C01254,Car Loan,1011983,11.37,50527,Closed,0
L00040,C00667,Gold Loan,4920914,9.35,34186,Active,1
L00041,C00477,Education Loan,3321462,9.96,38960,Active,1
L00042,C00571,Personal Loan,789813,8.53,32527,Closed,0
L00043,C00048,Gold Loan,55142,11.9,40147,Active,1
L00044,C01824,Home Loan,951972,7.03,29860,Active,1
L00045,C01138,Personal Loan,1569745,8.92,20785,Active,1
L00046,C00326,Education Loan,2963633,12.41,40261,Closed,0
L00047,C00165,Gold Loan,4360410,11.25,46013,Active,1
L00048,C01315,Business Loan,4136247,10.5,46510,Closed,0
L00049,C01759,Car Loan,595753,13.94,42198,Active,1
L00050,C00710,Car Loan,2050160,9.8,39572,Active,1
L00051,C01828,Gold Loan,1841103,8.89,42482,Closed,0
L00052,C01094,Business Loan,1769006,7.2,21587,Closed,0
L00053,C00102,Business Loan,441619,11.26,7552,Active,1
L00054,C01958,Home Loan,3543009,11.11,29262,Active,1
L00055,C01235,Business Loan,1861483,8.32,15495,Active,1
L00056,C00815,Education Loan,4991756,13.72,14039,Closed,0
L00057,C01637,Education Loan,2466447,7.12,57786,Active,1
L00058,C01450,Home Loan,3799333,9.43,25070,Active,1
L00059,C01343,Education Loan,2382780,7.14,10558,Active,1
L00060,C00770,Education Loan,974918,7.4,9852,Closed,0
L00061,C01278,Education Loan,3149804,7.69,55723,Closed,0
L00062,C01240,Personal Loan,263723,10.78,24506,Active,1
L00063,C01484,Education Loan,2476852,11.05,26191,Closed,0
L00064,C01460,Business Loan,1691646,11.16,8576,Closed,0
L00065,C01778,Gold Loan,3695878,9.7,49977,Closed,0
L00066,C00525,Business Loan,2111630,8.79,33292,Active,1
L00067,C01625,Personal Loan,3492047,10.62,36683,Active,1
L00068,C00015,Education Loan,4730189,13.11,49205,Active,1
L00069,C00361,Home Loan,728846,11.19,5609,Active,1
L00070,C00047,Education Loan,4456044,7.84,51403,Closed,0
L00071,C00264,Personal Loan,1499569,9.29,37805,Active,1
L00072,C00174,Gold Loan,1025846,8.16,31827,Closed,0
L00073,C00858,Home Loan,3091735,12.96,38751,Active,1
L00074,C00922,Business Loan,2282105,9.18,20252,Closed,0
L00075,C00960,Education Loan,213020,7.43,46152,Active,1
L00076,C01648,Car Loan,3772559,13.17,23680,Closed,0
L00077,C00190,Personal Loan,2890458,8.8,25941,Closed,0
L00078,C01634,Education Loan,4816221,11.65,55350,Closed,0
L00079,C00180,Business Loan,3329488,7.45,40594,Active,1
L00080,C01988,Home Loan,2269907,7.2,41500,Active,1
L00081,C00686,Car Loan,2572450,9.18,40451,Closed,0
L00082,C00349,Gold Loan,3188558,8.01,10177,Closed,0
L00083,C00716,Personal Loan,4677628,13.32,43305,Closed,0
L00084,C01673,Gold Loan,1871098,12.56,55019,Active,1
L00085,C00937,Education Loan,3324697,12.2,34854,Closed,0
L00086,C01437,Personal Loan,2203860,11.51,14910,Active,1
L00087,C01982,Personal Loan,920630,12.86,53223,Closed,0
L00088,C00985,Business Loan,4192551,7.06,25751,Active,1
L00089,C00210,Personal Loan,2377454,9.58,6826,Closed,0
L00090,C00897,Business Loan,2011123,10.05,24449,Active,1
L00091,C01384,Business Loan,3585879,12.14,6198,Active,1
L00092,C01165,Personal Loan,1276980,10.22,53070,Closed,0
L00093,C00851,Personal Loan,1780714,13.0,42796,Active,1
L00094,C00734,Personal Loan,3569184,7.01,33219,Closed,0
L00095,C00356,Education Loan,2929906,9.35,7412,Active,1
L00096,C00261,Education Loan,877018,8.33,45970,Closed,0
L00097,C01921,Personal Loan,3844971,13.44,3356,Active,1
L00098,C01376,Business Loan,1123836,8.5,45343,Active,1
L00099,C01319,Gold Loan,531976,7.36,24253,Active,1
L00100,C00089,Car Loan,3397529,10.3,23242,Active,1
L00101,C01600,Education Loan,837618,10.81,53530,Closed,0
L00102,C00451,Personal Loan,999530,12.32,25290,Closed,0
L00103,C00605,Gold Loan,4303760,8.54,58714,Closed,0
L00104,C00364,Gold Loan,4710272,13.17,25248,Active,1
L00105,C01406,Home Loan,4320267,8.81,58609,Active,1
L00106,C00487,Education Loan,2463310,10.94,10258,Closed,0
L00107,C00308,Gold Loan,4973495,9.9,26844,Closed,0
L00108,C01540,Home Loan,3222627,9.69,45563,Active,1
L00109,C01472,Home Loan,1790568,13.96,13550,Active,1
L00110,C00889,Business Loan,4357523,7.32,3204,Active,1
L00111,C01049,Personal Loan,751961,12.82,56977,Closed,0
L00112,C00689,Education Loan,2255007,13.78,56960,Active,1
L00113,C01839,Personal Loan,3134301,7.7,9805,Active,1
L00114,C01972,Gold Loan,1686038,9.03,59025,Active,1
L00115,C00961,Business Loan,657226,11.15,22930,Closed,0
L00116,C01429,Gold Loan,2917746,11.41,34028,Closed,0
L00117,C01510,Education Loan,4931467,12.29,27695,Active,1
L00118,C00705,Personal Loan,3497518,10.16,9767,Active,1
L00119,C00995,Home Loan,1193675,7.3,22993,Closed,0
L00120,C01414,Education Loan,2301419,7.85,32121,Closed,0
L00121,C00780,Car Loan,1498891,8.46,3381,Active,1
L00122,C01915,Personal Loan,1601184,9.05,14682,Active,1
L00123,C00474,Education Loan,818071,9.82,28235,Closed,0
L00124,C00467,Personal Loan,1665768,12.15,58871,Closed,0
L00125,C01877,Home Loan,3838794,11.39,13475,Active,1
L00126,C00136,Home Loan,2706941,7.93,43213,Active,1
L00127,C00906,Home Loan,4902061,8.49,6640,Closed,0
L00128,C01663,Education Loan,3648409,11.41,11236,Active,1
L00129,C01300,Gold Loan,1028195,12.09,9123,Closed,0
L00130,C01885,Gold Loan,2110133,7.53,8098,Active,1
L00131,C01255,Home Loan,309064,13.69,53199,Closed,0
L00132,C00804,Home Loan,453077,12.75,15185,Active,1
L00133,C00638,Business Loan,2905560,12.8,30367,Closed,0
L00134,C01455,Car Loan,796134,7.15,38933,Closed,0
L00135,C00432,Education Loan,1573216,7.95,53627,Active,1
L00136,C01692,Business Loan,1582267,12.16,3534,Active,1
L00137,C00698,Personal Loan,1571560,9.15,37655,Active,1
L00138,C01008,Education Loan,3705018,9.5,34006,Closed,0
L00139,C00645,Car Loan,1839611,11.0,42067,Active,1
L00140,C01135,Business Loan,888973,8.79,18468,Active,1
L00141,C00341,Gold Loan,2528381,9.4,18496,Closed,0
L00142,C00929,Car Loan,4931882,11.92,59825,Active,1
L00143,C01944,Home Loan,3457535,7.24,36376,Closed,0
L00144,C01391,Education Loan,4614506,11.76,10899,Active,1
L00145,C00297,Personal Loan,1840823,11.5,20469,Closed,0
L00146,C01300,Business Loan,2479128,8.95,54710,Closed,0
L00147,C01098,Car Loan,4456177,9.49,46571,Closed,0
L00148,C01594,Business Loan,2653734,9.11,24533,Active,1
L00149,C01433,Car Loan,1535822,7.83,27115,Closed,0
L00150,C00288,Business Loan,4969289,7.65,11683,Closed,0
L00151,C01471,Home Loan,4073587,7.45,16302,Active,1
L00152,C00553,Personal Loan,4538537,7.91,29425,Closed,0
L00153,C01359,Education Loan,1016896,13.59,11670,Active,1
L00154,C01502,Business Loan,2999404,9.26,27046,Active,1
L00155,C01836,Car Loan,4840721,12.45,57785,Active,1
L00156,C00905,Personal Loan,138035,12.77,55033,Closed,0
L00157,C00904,Gold Loan,1876536,7.42,43645,Closed,0
L00158,C01151,Home Loan,2073306,12.97,43099,Active,1
L00159,C00523,Education Loan,4741812,9.77,6333,Closed,0
L00160,C00704,Personal Loan,4774176,7.81,42280,Active,1
L00161,C01559,Gold Loan,4933806,13.66,38979,Active,1
L00162,C01059,Gold Loan,4784800,12.76,36428,Active,1
L00163,C01810,Gold Loan,2738211,7.09,18481,Closed,0
L00164,C01090,Gold Loan,2749824,9.38,26805,Active,1
L00165,C00802,Business Loan,1047964,9.42,47871,Active,1
L00166,C00543,Education Loan,1166627,10.22,35913,Closed,0
L00167,C00810,Gold Loan,3463998,8.13,33767,Closed,0
L00168,C01897,Personal Loan,3925872,13.13,14609,Closed,0
L00169,C00472,Business Loan,1082866,13.71,22989,Closed,0
L00170,C01786,Car Loan,3485426,13.08,25997,Active,1
L00171,C01453,Car Loan,3844936,9.4,45611,Active,1
L00172,C00143,Car Loan,2227609,9.69,16921,Active,1
L00173,C01115,Car Loan,2746481,9.27,24865,Active,1
L00174,C00183,Personal Loan,1243531,7.98,43440,Closed,0
L00175,C01147,Home Loan,1765250,7.55,6517,Closed,0
L00176,C01795,Business Loan,2105594,7.39,40612,Active,1
L00177,C00049,Business Loan,1325138,11.58,15145,Active,1
L00178,C01459,Home Loan,1433456,12.02,23234,Active,1
L00179,C01658,Education Loan,3629617,9.85,54286,Closed,0
L00180,C00094,Gold Loan,3437802,13.1,16193,Active,1
L00181,C01132,Personal Loan,3222148,11.95,32384,Closed,0
L00182,C00124,Gold Loan,204266,11.66,42212,Closed,0
L00183,C00999,Personal Loan,2799302,11.84,22243,Closed,0
L00184,C00380,Car Loan,2986332,11.14,50888,Active,1
L00185,C00290,Home Loan,1873570,9.55,15379,Active,1
L00186,C00243,Personal Loan,2886186,8.55,47864,Active,1
L00187,C00885,Gold Loan,2218055,9.72,41108,Active,1
L00188,C00953,Home Loan,3625145,10.33,24512,Closed,0
L00189,C00612,Car Loan,241851,8.47,8656,Closed,0
L00190,C01055,Personal Loan,1589127,7.84,43603,Closed,0
L00191,C01864,Car Loan,4192144,8.26,59425,Closed,0
L00192,C00768,Car Loan,1955041,8.14,28994,Closed,0
L00193,C01801,Car Loan,2710957,7.01,28395,Closed,0
L00194,C01636,Car Loan,165289,9.47,37265,Active,1
L00195,C01490,Education Loan,501155,10.24,12751,Closed,0
L00196,C01601,Business Loan,4886909,8.4,41008,Active,1
L00197,C01625,Gold Loan,4513374,11.44,39637,Closed,0
L00198,C01796,Education Loan,4289930,11.05,3952,Active,1
L00199,C00064,Education Loan,2906455,13.58,50434,Active,1
L00200,C01086,Car Loan,2441564,13.69,51120,Active,1
L00201,C00066,Car Loan,1515336,11.62,51942,Closed,0
L00202,C00212,Car Loan,851932,10.03,54601,Active,1
L00203,C01337,Education Loan,199832,10.22,13608,Closed,0
L00204,C01869,Car Loan,1218551,13.27,5954,Closed,0
L00205,C00109,Personal Loan,2514593,12.63,3305,Closed,0
L00206,C01168,Business Loan,1952474,11.21,32022,Closed,0
L00207,C01504,Business Loan,4349994,12.91,6090,Closed,0
L00208,C01041,Car Loan,4963193,7.7,25811,Active,1
L00209,C01518,Car Loan,2274973,8.19,57017,Closed,0
L00210,C01139,Education Loan,4434838,8.98,5886,Closed,0
L00211,C00215,Car Loan,4239564,13.77,20057,Active,1
L00212,C01393,Business Loan,4396896,10.24,56398,Closed,0
L00213,C01735,Home Loan,2761775,11.89,29252,Active,1
L00214,C00275,Business Loan,1011640,13.55,16076,Closed,0
L00215,C01295,Business Loan,334127,11.4,29081,Closed,0
L00216,C01381,Home Loan,2634971,11.89,58494,Closed,0
L00217,C01413,Personal Loan,1977344,7.08,43834,Closed,0
L00218,C00965,Gold Loan,889359,9.13,23607,Active,1
L00219,C01572,Business Loan,2583181,7.97,27907,Closed,0
L00220,C01683,Education Loan,2383403,7.72,25028,Active,1
L00221,C01595,Education Loan,2398178,13.42,51167,Closed,0
L00222,C01564,Education Loan,4712481,9.4,30470,Active,1
L00223,C01401,Education Loan,900012,9.65,18502,Closed,0
L00224,C00140,Gold Loan,1002382,7.66,29530,Closed,0
L00225,C01204,Car Loan,1209800,9.17,35388,Active,1
L00226,C00882,Business Loan,4193356,9.11,38890,Active,1
L00227,C00645,Education Loan,2130543,8.91,51471,Active,1
L00228,C00355,Car Loan,786551,7.07,58839,Active,1
L00229,C00056,Personal Loan,4719715,10.66,48457,Active,1
L00230,C01608,Car Loan,4845030,11.67,7431,Closed,0
L00231,C00157,Home Loan,761674,7.63,11469,Active,1
L00232,C01652,Home Loan,3853059,12.69,33632,Closed,0
L00233,C01435,Business Loan,832186,13.97,47993,Closed,0
L00234,C01165,Education Loan,859286,13.96,56161,Closed,0
L00235,C01815,Personal Loan,1633926,12.45,6702,Active,1
L00236,C01514,Home Loan,1499660,8.8,55669,Active,1
