transaction_id,customer_id,transaction_date,payment_type,merchant,amount,status,city,txn_year,txn_month,txn_month_name,txn_quarter,is_success,is_failed
T000001,C01312,2025-07-09,ATM,PhonePe,77100,Success,Coimbatore,2025,7,Jul,3,1,0
T000002,C00028,2025-03-01,UPI,PhonePe,99575,Success,Mumbai,2025,3,Mar,1,1,0
T000003,C00633,2025-03-02,Net Banking,Flipkart,81333,Success,Coimbatore,2025,3,Mar,1,1,0
T000004,C00282,2025-04-06,Net Banking,Swiggy,26578,Success,Pune,2025,4,Apr,2,1,0
T000005,C00419,2025-06-14,UPI,Flipkart,95167,Success,Coimbatore,2025,6,Jun,2,1,0
T000006,C01938,2025-04-24,Card,Flipkart,36554,Success,Kochi,2025,4,Apr,2,1,0
T000007,C01612,2025-07-14,UPI,PhonePe,54480,Success,Hyderabad,2025,7,Jul,3,1,0
T000008,C00591,2025-07-12,UPI,Flipkart,96159,Success,Hyderabad,2025,7,Jul,3,1,0
T000009,C00497,2025-02-22,UPI,Myntra,32650,Success,Coimbatore,2025,2,Feb,1,1,0
T000010,C01426,2025-07-04,ATM,PhonePe,50102,Success,Chennai,2025,7,Jul,3,1,0
T000011,C00376,2025-04-24,UPI,Amazon,64540,Success,Chennai,2025,4,Apr,2,1,0
T000012,C00395,2025-01-14,ATM,Flipkart,16557,Success,Bangalore,2025,1,Jan,1,1,0
T000013,C01214,2025-05-21,ATM,Flipkart,66609,Success,Kochi,2025,5,May,2,1,0
T000014,C01485,2025-04-30,Card,Flipkart,94691,Success,Bangalore,2025,4,Apr,2,1,0
T000015,C00869,2025-02-15,ATM,Swiggy,37501,Success,Coimbatore,2025,2,Feb,1,1,0
T000016,C01982,2025-06-12,ATM,Swiggy,63168,Success,Chennai,2025,6,Jun,2,1,0
T000017,C01992,2025-04-03,Net Banking,Zomato,22089,Success,Bangalore,2025,4,Apr,2,1,0
T000018,C00866,2025-05-10,Net Banking,Flipkart,63276,Success,Chennai,2025,5,May,2,1,0
T000019,C00782,2025-04-20,UPI,Swiggy,78111,Success,Hyderabad,2025,4,Apr,2,1,0
T000020,C01133,2025-07-06,ATM,Swiggy,49966,Success,Coimbatore,2025,7,Jul,3,1,0
T000021,C00929,2025-03-14,Net Banking,PhonePe,79532,Success,Bangalore,2025,3,Mar,1,1,0
T000022,C00683,2025-02-04,Net Banking,Flipkart,20380,Success,Mumbai,2025,2,Feb,1,1,0
T000023,C00009,2025-01-04,Card,Zomato,53125,Failed,Chennai,2025,1,Jan,1,0,1
T000024,C01926,2025-04-12,Card,Zomato,64266,Success,Kochi,2025,4,Apr,2,1,0
T000025,C01205,2025-01-19,Net Banking,Amazon,16415,Success,Bangalore,2025,1,Jan,1,1,0
T000026,C01159,2025-02-11,ATM,Zomato,33557,Success,Pune,2025,2,Feb,1,1,0
T000027,C01540,2025-07-04,Card,PhonePe,93046,Success,Bangalore,2025,7,Jul,3,1,0
T000028,C01411,2025-04-05,UPI,Myntra,50606,Failed,Coimbatore,2025,4,Apr,2,0,1
T000029,C01507,2025-03-05,ATM,Zomato,4622,Failed,Chennai,2025,3,Mar,1,0,1
T000030,C00741,2025-06-11,UPI,Myntra,87351,Success,Coimbatore,2025,6,Jun,2,1,0
T000031,C00536,2025-06-04,Net Banking,Myntra,19415,Success,Mumbai,2025,6,Jun,2,1,0
T000032,C01234,2025-05-29,ATM,Amazon,15400,Success,Hyderabad,2025,5,May,2,1,0
T000033,C01320,2025-07-02,Net Banking,Zomato,92645,Success,Hyderabad,2025,7,Jul,3,1,0
T000034,C01846,2025-01-21,ATM,Zomato,21834,Success,Coimbatore,2025,1,Jan,1,1,0
T000035,C00518,2025-06-27,Card,PhonePe,69987,Success,Kochi,2025,6,Jun,2,1,0
T000036,C00784,2025-05-31,Card,Myntra,54050,Success,Pune,2025,5,May,2,1,0
T000037,C01894,2025-07-06,UPI,Amazon,83485,Success,Chennai,2025,7,Jul,3,1,0
T000038,C01634,2025-03-30,ATM,Swiggy,98237,Success,Kochi,2025,3,Mar,1,1,0
T000039,C01533,2025-04-12,Card,Amazon,22172,Success,Coimbatore,2025,4,Apr,2,1,0
T000040,C00004,2025-01-25,UPI,Myntra,54867,Success,Coimbatore,2025,1,Jan,1,1,0
T000041,C01341,2025-03-15,Net Banking,Flipkart,23221,Success,Pune,2025,3,Mar,1,1,0
T000042,C01442,2025-02-04,ATM,Zomato,23953,Success,Coimbatore,2025,2,Feb,1,1,0
T000043,C00226,2025-04-26,ATM,Flipkart,26437,Success,Kochi,2025,4,Apr,2,1,0
T000044,C00375,2025-07-27,ATM,Swiggy,53681,Success,Kochi,2025,7,Jul,3,1,0
T000045,C01870,2025-06-09,UPI,Myntra,21874,Success,Hyderabad,2025,6,Jun,2,1,0
T000046,C00176,2025-04-07,UPI,Swiggy,8523,Success,Coimbatore,2025,4,Apr,2,1,0
T000047,C01200,2025-03-02,Net Banking,Zomato,88285,Success,Mumbai,2025,3,Mar,1,1,0
T000048,C00020,2025-01-16,Card,Amazon,87305,Success,Mumbai,2025,1,Jan,1,1,0
T000049,C00086,2025-01-25,ATM,PhonePe,1051,Success,Pune,2025,1,Jan,1,1,0
T000050,C01066,2025-09-04,Card,Zomato,62127,Success,Mumbai,2025,9,Sep,3,1,0
T000051,C01238,2025-04-20,Card,Swiggy,89472,Success,Hyderabad,2025,4,Apr,2,1,0
T000052,C00646,2025-07-29,ATM,Swiggy,87273,Success,Pune,2025,7,Jul,3,1,0
T000053,C01251,2025-01-15,Card,Swiggy,13230,Success,Kochi,2025,1,Jan,1,1,0
T000054,C01783,2025-06-28,Net Banking,Myntra,18301,Success,Pune,2025,6,Jun,2,1,0
T000055,C00252,2025-08-11,Card,Myntra,98592,Success,Coimbatore,2025,8,Aug,3,1,0
T000056,C00755,2025-04-26,Net Banking,PhonePe,54249,Success,Chennai,2025,4,Apr,2,1,0
T000057,C00007,2025-06-13,Card,Amazon,83170,Success,Hyderabad,2025,6,Jun,2,1,0
T000058,C00094,2025-09-06,Card,Myntra,58336,Success,Mumbai,2025,9,Sep,3,1,0
T000059,C00993,2025-04-13,UPI,Swiggy,56187,Failed,Coimbatore,2025,4,Apr,2,0,1
T000060,C01929,2025-08-27,Net Banking,Myntra,91784,Success,Pune,2025,8,Aug,3,1,0
T000061,C01504,2025-04-09,Card,PhonePe,25669,Success,Mumbai,2025,4,Apr,2,1,0
T000062,C01782,2025-05-14,UPI,Flipkart,65364,Success,Bangalore,2025,5,May,2,1,0
T000063,C00618,2025-08-02,Net Banking,Flipkart,58595,Failed,Mumbai,2025,8,Aug,3,0,1
T000064,C00988,2025-06-19,ATM,Flipkart,27840,Success,Mumbai,2025,6,Jun,2,1,0
T000065,C01934,2025-06-18,UPI,Amazon,57102,Failed,Mumbai,2025,6,Jun,2,0,1
T000066,C00060,2025-02-11,Card,Zomato,36847,Success,Kochi,2025,2,Feb,1,1,0
T000067,C00528,2025-06-20,Net Banking,Myntra,16234,Success,Coimbatore,2025,6,Jun,2,1,0
T000068,C01890,2025-05-17,Net Banking,Amazon,90773,Success,Coimbatore,2025,5,May,2,1,0
T000069,C00459,2025-08-27,UPI,Myntra,45087,Success,Pune,2025,8,Aug,3,1,0
T000070,C01470,2025-07-10,Net Banking,Myntra,84261,Success,Bangalore,2025,7,Jul,3,1,0
T000071,C01979,2025-08-08,Net Banking,Flipkart,29401,Success,Pune,2025,8,Aug,3,1,0
T000072,C00596,2025-01-23,UPI,Amazon,44695,Success,Chennai,2025,1,Jan,1,1,0
T000073,C01920,2025-02-18,UPI,PhonePe,48300,Success,Chennai,2025,2,Feb,1,1,0
T000074,C00642,2025-09-02,Net Banking,PhonePe,96689,Success,Kochi,2025,9,Sep,3,1,0
T000075,C00127,2025-06-01,ATM,Zomato,55635,Success,Bangalore,2025,6,Jun,2,1,0
T000076,C00748,2025-07-24,ATM,PhonePe,87098,Success,Mumbai,2025,7,Jul,3,1,0
T000077,C00455,2025-01-28,Net Banking,Amazon,70655,Success,Mumbai,2025,1,Jan,1,1,0
T000078,C00648,2025-02-07,Card,Flipkart,65614,Success,Chennai,2025,2,Feb,1,1,0
T000079,C00302,2025-06-03,Card,Flipkart,98018,Success,Pune,2025,6,Jun,2,1,0
T000080,C01642,2025-07-31,UPI,PhonePe,42061,Success,Pune,2025,7,Jul,3,1,0
T000081,C01411,2025-02-01,Card,Myntra,75331,Success,Coimbatore,2025,2,Feb,1,1,0
T000082,C01698,2025-02-25,Net Banking,Swiggy,92393,Failed,Hyderabad,2025,2,Feb,1,0,1
T000083,C00121,2025-07-27,Card,Flipkart,94047,Success,Hyderabad,2025,7,Jul,3,1,0
T000084,C01501,2025-08-28,ATM,Myntra,96533,Success,Mumbai,2025,8,Aug,3,1,0
T000085,C01773,2025-07-18,ATM,Zomato,95441,Success,Pune,2025,7,Jul,3,1,0
T000086,C01670,2025-06-18,ATM,Amazon,71919,Success,Pune,2025,6,Jun,2,1,0
